artTitle,artDate,artTime,artUrl,artPoster,artCat,commentNum,push,boo,sentence
[問卦]不想活的，為什麼會認為有安樂死就有用？,2017/01/03,07:38:46,https://www.ptt.cc/bbs/Gossiping/M.1483458289.A.84B.html,ryan0222,Gossiping,5,0,2,"有些生活過不下去的，人生覺得無望，生活沒有意義，精神疾病困擾。
常常會希望，要是有安樂死就好了。

問題是台灣就算有安樂死，也應該是給那些癌末重症，醫療明顯無效的人。
仔細審核過，或許才有機會能用得到。

那些日子過的不如意的人，為什麼會以為台灣將來有安樂死，他就用得到？
"
[爆卦]衛福部回應安樂死合法化連署了,2017/01/04,02:34:06,https://www.ptt.cc/bbs/Gossiping/M.1483526412.A.E3F.html,blacksugur,Gossiping,25,8,11,"全文網址：
https://goo.gl/hgNL6m
（內另有會議逐字稿附件）
手機排版可能會有點亂，請見諒

大概摘要：
全文：


分析說明


一、安樂死議題涉及之層面

安樂死係指醫師依病人之要求，刻意給予某種過量具毒殺作用的藥物、氣體或其他作為，結束病人生命。此種情形，
雖然並非惡意殺人，本質上仍屬於縮短他人生命行為，法律上顯然已侵犯他人之生存權。
因此，「安樂死」合法化，不無牴觸憲法之虞；且關係到刑法理論、醫學、哲學、宗教、倫理道德，及各國的社會文化背景等問題，涉及層面甚廣。


二、安樂死定義

目前各國對安樂死的定義一般而言分為主動安樂死和被動安樂死，前者是主動為病人結束生命（例如透過注射方式）；後者則是停止療程（例如除去病人的維生系統或讓病人停止服藥，使其自然死亡。

三、相關法規：安寧緩和醫療條例

為減輕末期病人之痛苦及維護臨終尊嚴，我國於89年6月7日公布安寧緩和醫療條例，依該條例規定，醫師對於
不可治癒末期病人
，得在
尊重其意願之情形下
，不施予積極性之治療或急救，
僅提供減輕或免除其痛苦之緩解性、支持性醫療照護措施讓病人可以有尊嚴地度過其生命的最後一程
；102 年修法時，加入撤除維生設備之規定，不以人工方式延長壽命。此外，本部自 95 年起，持續辦理安寧緩和醫療意願註記健保 IC 卡登錄及宣導計畫，宣導民眾建立正確之觀念，以獲得最符合善終之醫療照護。

四、相關法規：病人自主權利法

世界各國近年來均致力於推動預立醫療照顧計畫(advance care planning)、預立醫療指示(advance directives)、醫療委任代理人(health care proxy)制度，將個人自主權延伸至喪失決策能力之後，讓個人可以事先決定選擇或拒絕各式醫療照護方針。因此我國於105年1月6日公布「病人自主權利法」，為亞洲第一部病人自主權利之專法，臺灣病人自主權利往前邁一大步，全條文共19條，核心重點為：
具完全行為能力之意願人
可以透過
「預立醫療照護諮商」事先立下書面之「預立醫療決定」
，可以
選擇接受或拒絕醫療。
病人自主權利法引進預立醫療照顧計畫，目的是讓病人接受醫療團隊的專業諮詢，以瞭解各種醫療情境及其可能的醫療方式與風險，再根據自身的意願做出決定。此法將可提供醫療機構與醫師尊重病人意願、執行預立醫療指示的法律保障，在確保病人拒絕醫療權的同時，保障醫師免受醫療糾紛或其他法律責任的非難。


研商辦理情形


衛生福利部為確認「推動安樂死合法化」提案內容的訴求，爰於105年12月6日召開研商推動安樂死合法化政策會議，並邀請提案人、相關醫學倫理及法律專家與部會代表與會，進行深入討論，會議逐字稿如附件。


參採情形


一、被動安樂死

（一）就
末期病人
部分，已經有安寧緩和醫療條例，可供w立安寧緩和醫療暨維生醫療抉擇意願，由 法律讓醫師可
合法終止病人維生設備，或者撤除急救設備。
（二）今（ 105 ）年更進一步發布
《病人自主權利法》
，讓 具完全行為能力之意願人可以透過「預立醫療照護諮商」事先立下書面之「預立醫療決定」，可以選擇接受或拒絕醫療。 因為還有一些臨床如何執行和待釐清的問題，所以法律 特別規定
施行日為公布三年後，即108年1月6日施行。
（三）《病人自主權利法》 適用 5 種臨床條件：
末期病人、處於不可逆轉之昏迷狀況、永久植物人狀態、極重度失智、其他經公告之病人疾病狀況或痛苦難以忍受、疾病無法治癒且依當時醫療水準無其他合適解決方法
之情形。

二、主動安樂死

安樂死立法目前還有需要討論的空間，對於尊重生命的尊嚴、生存的權益，雖然討論多年，目前社會上尚無共識，但確實是有進展。因此將
待病人自主權利法施行一段時間後，再檢討並與社會各界討論此議題。
後續推動規劃


為利《病人自主權利法》施行順遂，衛生福利部會邀請這方面的專家學者以及具實務經驗者，就《病人自主權利法》如何施行，進行研議，以符合更多民眾的需求。





總之好像是要先觀望自主權利法效果如何再來決定的樣子？
首篇八卦文，希望上色沒出問題Orz
"
[問卦]安樂死合法八卦板會少多少人?,2017/01/11,01:04:13,https://www.ptt.cc/bbs/Gossiping/M.1484125815.A.B14.html,jacktypetlan,Gossiping,14,10,0,"安安
小魯肥宅我很疑惑

像我們這種肥宅

一輩子沒女朋友 娶不到老婆
工作也是普普通通
甚至是自宅警備員


都30好幾了 也只能成天鎖在房間
看著黑底白字顆顆笑

人生少數的快樂
大概就只有看著新番不斷哈斯哈斯
跟尻尻的時候了


可是尻尻完那種空虛寂寞的感覺襲來

發覺自己真是個廢物肥宅
的時候

會不會很想安樂死阿?
畢竟自己的存在實在毫無意義
只會帶給他人困擾


有沒有如果安樂死合法化
本板會少多少人的八卦?
"
[ＦＢ]賴清德:李處長率全國之先達成「零安樂死,2017/01/11,03:35:44,https://www.ptt.cc/bbs/Gossiping/M.1484134907.A.F5F.html,medama,Gossiping,8,2,0,"ＦＢ卦點說明：（
正體中文 20 個字
）
李處長104年率全國之先，達成「零安樂死」目標，推動「畜牧場、漁塭認養工作犬」計
畫，創意的巧思也為流浪犬找到工作，免於安樂死，並使流浪犬貓認領養率達到72%

ＦＢ連結：
https://www.facebook.com/chingte/?fref=ts
http://i.imgur.com/0SVfRqi.jpg
ＦＢ內容：
賴清德
2小時 ·

本市動物防疫保護處李朝全處長擔任公職超過40年，1月16日即將屆齡退休，他從基層逐

級歷練，豐富的公職生涯即將結束，我今天代表全體市民，頒發獎牌，感謝他對於台南市

動保工作的卓越貢獻。

李處長104年率全國之先，達成「零安樂死」目標，推動「畜牧場、漁塭認養工作犬」計

畫，創意的巧思也為流浪犬找到工作，免於安樂死，並使流浪犬貓認領養率達到72%，執

行成效深獲得監察院及中央農委會肯定。此外，更獲得社團法人中華民國關懷生命協會

103年全國動物保護行政評鑑「全國特優」的殊榮。

他同時也積極規劃研擬台南市天然災害牧場應變暨動物屍體處理措施，完成緊急防疫及大

量禽隻屍體焚毀，有效防堵疫情蔓延，更獲得農委會動植物防疫檢疫局100年及101年全國

評鑑第一名。在104年高病原性禽流感大爆發之際，率領全體防疫人員採取高規格方式撲

殺處置，不但使疫情降溫且獲得控制，也成為全國最快獲得中央撥付6成補償費的縣市。

李處長對於台南的付出大家都有目共睹，我也祝福他退休後能夠開啟另一頁的精采人生，

「退而不休」並繼續提攜後進，把畢生動保防疫所學專長及珍貴經驗傳承下去，奉獻社會
"
[問卦]如果安樂死法真的通過了，你會想活到幾歲,2017/01/11,06:07:04,https://www.ptt.cc/bbs/Gossiping/M.1484143988.A.774.html,ss910126,Gossiping,19,8,3,"各位晚安，最近天氣涼，請多家注意

假如有一天，鬼島真的通過了安樂死法，

想請問各位會想活到幾歲呢?

小弟我是想等父母都過世後，如果有遺產

就變現捐給需要的團體，身體狀況不太行之後就考慮
"
[新聞]媽媽被病折磨離世　英父女苦盼安樂死放行,2017/01/13,03:13:48,https://www.ptt.cc/bbs/Gossiping/M.1484306396.A.E41.html,purplvampire,Gossiping,14,8,2,"1.媒體來源:

蘋果日報

2.完整新聞標題:

媽媽被病折磨離世　英父女苦盼安樂死放行

3.完整新聞內文:

2017年01月13日17:13
英國一個婦人罹患多發性硬化症，脖子以下完全癱瘓，一心求死的她飽受折磨，一直到上
月才離開人世，家人公布多張照片，希望政府可以正視安樂死需求。

英國《鏡報》報導，68歲洛米爾（Flora Lormier）20歲就患多發性硬化症，但過去只有
腿部受影響，2年情病情急速惡化，導致她
。

她的先生和女兒本周公布洛米爾生前照片，呼籲政府「
人人都有死亡的權利
」。她的女兒
哀慟地說「
媽媽活著只是受苦，完全只有折磨兩個字可以形容…為什麼我們對動物比較體
貼（能安樂死），對我們的摯愛卻不能？
」，她怒道「如果媽媽是一隻狗，而爸爸卻讓她
處在那種情況，爸爸肯定會坐牢，狗會被安樂死…為什麼動物不能受苦，人類卻要承受？
」

她的先生則說，洛米爾在患病前萬事不假他人之手，「她總是說我來做，她不想要成為任
何人負擔，她過去是名護士。她身體潰瘍的時候甚至會道歉，她躺在床上痛苦地說『我不
想在這了，我明天不想再見到你』」。（余浚安／綜合外電報導）

4.完整新聞連結 (或短網址):
https://goo.gl/H5O2lK
5.備註:

反觀荷蘭

人生已圓滿 荷蘭打算進一步助人自殺
https://dq.yam.com/post.php?id=6708
在安樂死立法上走在世界尖端的荷蘭，近日打算修法，讓那些認為自己「人生已圓滿」的
人，有申請協助自殺的權利。

他們在聲明中寫到：「內閣認為幫助沒有潛在醫療原因，但仍承受無法忍受的痛苦和沒有
希望的人，可以尋求幫助是個合法的請求。」
"
[問卦]支持安樂死為什麼還干預別人自殺？,2017/01/18,11:16:53,https://www.ptt.cc/bbs/Gossiping/M.1484767375.A.124.html,J22796168,Gossiping,30,10,3,"支持安樂死的立場，是人有生命自主權吧

那既然個人依自由意志做下決定

在排除會帶給他人困擾的條件下（臥軌等

又為什麼今晚就轉彎了？

難不成根據疾病不同而有不同標準？

我坦白我是看到5566被挑出來批才問的

雖然他是挺偏激的，但凸顯了矛盾
"
[問卦]安樂死討論度小於同志婚姻為啥,2017/01/18,20:44:04,https://www.ptt.cc/bbs/Gossiping/M.1484801407.A.807.html,Eangel,Gossiping,19,4,6,"很多人因病況而苦
但無奈的是 現行法律無法安樂死


而一堆同性戀只會在那靠背大家對他們多歧視 多恐同症
 之前還在那怪小英

管小英屁事
太平洋沒加蓋不會自己游去同志婚姻合法國家噢

為啥安樂死明明比較重要
卻討論度小於同性戀議題啊

有沒有八卦




"
[問卦]張振聲是不是安樂死比較好,2017/01/19,21:07:52,https://www.ptt.cc/bbs/Gossiping/M.1484889238.A.D58.html,kiwibee,Gossiping,13,5,1,"已經當植物人十六年了
被困在自己的身體裡
這樣活著有什麼意思
張爸也已心力憔悴
請支持植物人安樂死合法化
"
[問卦]台灣為何只推長照不推安樂死?,2017/01/21,04:47:28,https://www.ptt.cc/bbs/Gossiping/M.1485003210.A.30F.html,l10O,Gossiping,8,3,0,"每當親人臥病在床

最痛苦的就是照顧的親屬和病人本身

一個要花費不少金錢和精力去照顧病人

一個躺在床上不能動想走卻走不了

真的遇到拔管時刻 垃圾親戚又說拔管不肖

到最後就是不斷的累

台灣現在要推長照

推長照為何不推安樂死?

真的換成自己躺在床上 知道自己無法在行動自如

沒有的期待又不能行動 活著有何意義?

這種情況下死了可能比較痛快

安樂死的經費比長照少很多

又能節省醫療資源和病人本身的痛苦

有沒有不推安樂死的八卦?
"
[問卦]推行安樂死之必須，是年金改革的進步,2017/01/21,21:51:30,https://www.ptt.cc/bbs/Gossiping/M.1485064653.A.193.html,clark0816,Gossiping,71,46,3,"其實很多人，活到太老，都會覺得死了算了。

有錢人也是如此。窮人更是如此。

天天吃藥。煩都煩死了。

那為什麼這些人不自殺？

怕痛阿！或者又被救回來。白自殺了。

所以。
我覺得政府應該推動安樂死，
像傅達仁這樣，超級難過，現在健保還要救他。
他根本不想活了阿！
推行安樂死，可以使醫療可以減少不必要的重症病情。

病人只是苦撐，卻要用昂貴的藥。

乾脆安樂死，不是很好嗎？
另外，改革年金，很多老軍公教都說活不下去了。
那推行安樂死，可以讓他們有尊嚴的死掉。
又可延後軍公教年金的壽命。

年關要到了。

很多人都活不太下去，乾脆推行安樂死。也可解決問題。
"
[問卦]安樂死不死,2017/01/22,08:29:23,https://www.ptt.cc/bbs/Gossiping/M.1485102927.A.A4D.html,AlarmBell,Gossiping,7,4,0,"剛剛看了三顆電視台的專題
關於安樂死Euthanasia 跟安寧死Natural Death

漸凍人想爭取安樂死
用他手指打出一篇聲明極力支持

躺在床上氣切的病患
以及身旁的兒女看著自己的父母痛苦的樣貌
能否安寧還要等到是末期病人有醫生的認定

讓我想到我阿嬤因為PD後來惡化就一直躺在床上
整整八年
仍然有意識可以有氣無力的講話
不過台語不好的我
很難在發音不夠大聲的狀況下了解阿嬤要表達的
只看的到痛苦的表情
所以我很不喜歡回阿嬤家
因為只看到阿嬤痛
有私人簡易醫療維生設備
還有一台在公園推銷甚麼活化身體價值快十萬的椅子
雖然家人都覺得騙人但是阿公還是買了
其實就是電療椅而已
阿嬤後來走了
過兩年阿公精神打擊也躺在病床上
各種器官衰竭
面臨到氣切的狀況
家族會議以3比2極小差距下
決定不氣切然後就帶阿公回家走完最後一趟


面對這個議題總是沉重
看完專題睡不著覺

想到身為邊緣人
不要當家人累贅
之後遇重大事故跟意外遇到急救狀況
是不是不要給別人帶來麻煩
是要讓這個法案順利的通過阿
安寧死跟器官捐贈要去哪裡簽?


"
[新聞]【憂心片】零安樂死後天上路　成功關鍵看,2017/02/02,08:02:38,https://www.ptt.cc/bbs/Gossiping/M.1486051722.A.3A5.html,befly10015,Gossiping,23,5,4,"【憂心片】零安樂死後天上路　成功關鍵看這三點

蘋果


紀錄片《十二夜》真實揭露流浪動物進入收容所後的悲慘遭遇，並促使立法院在2015年修
正《動物保護法》，刪除該法第12條「經通知或公告逾12日而無人認領、認養或無適當之
處置，得以宰殺」規定，動物「零安樂死」措施也將自後天（２月４月）起正式上路，不
過，各縣市政府真的準備好了嗎？


動保團體直言，修法後，表面看似更尊重生命，但若未同步改善收容所環境、落實強制植
入晶片、以及提高認養率等配套措施，恐讓收容所擠爆成毛小孩煉獄，也增加收容動物集
體感染疾病的風險。


《蘋果》赴各縣市實地了解流浪動物收容現況，宜蘭、花蓮及新竹市等地官員直言執行有
困難，哀嘆：「不可能零撲殺！」新竹市收容所犬貓收容合計上限是120隻，但目前已有
128隻；宜蘭收容所更是長期爆量，得拿出移動式犬籠收容多出的犬隻；花蓮縣動物防疫
所股長沈家益還擔心，民眾棄養情況會更嚴重，收容所恐面臨爆滿窘境。


其實也有縣市抱持樂觀看法。目前國內已有台北、新北、高雄及台南等縣市陸續達到「零
安樂死」目標，相關單位都說，能成功達標的關鍵，在於只抓兇悍的流浪犬貓、以控制收
容量，最重要的是要增加認養率。北市早在2013年2月達到「零安樂死」目標，推動動物
之家幸福犬貓VIP等多處認養據點，更聘行為訓練師訓練流浪動物，讓牠們與人和平相處
，更能快速找到飼主。


零安樂死政策的實施對象是公立收容所。農委會動保科科長江文全也說，全國遊蕩犬仍有
12萬隻，地方政府也坦言，公立收容所的流浪動物進多於出，新政策上路後須落實「精準
捕捉」，才能降低犬隻入所數量；若犬隻重病需要實行安樂死，須由獸醫判定，以防範收
容所為減少收容數量撲殺犬隻。


台灣動物緊急救援小組發言人倪京台感慨說，政策2年前立法，卻未見有積極配套，非常
擔心政策上路後，動物收容所環境沒改善、經費未增加，收容所只准進，狗群會因環境更
擁擠，處境更可憐。高雄市關懷流浪動物協會理事長王小華也指出，實施零安樂死，表面
上是更尊重生命，若未一併改善收容所環境，未被撲殺的狗狗在收容所恐遭遇凌遲至死的
另類傷害。（地方中心／採訪整理）


完整新聞連結 (或短網址):
https://goo.gl/Z8Dfk9
備註:
零安樂死要是一直棄養一直繁衍要怎辦勒
"
[問卦]零安樂死接著會不會有老狗棄養潮,2017/02/02,16:56:18,https://www.ptt.cc/bbs/Gossiping/M.1486083740.A.539.html,I8DGC,Gossiping,8,4,0,"可能飼主都想說反正不會安樂死

狗狗老了很難照料 就送去給政府顧

很多鄉下養狗只是養來看門

說感情也算有 但也就是隻看門狗而已

以前會覺得有安樂死 所以送去收容所 等於送去死

感覺還是不道德

零安樂死後

送去收容所 感覺就只是送去老人院給人顧而已

生死責任就不在自己身上了 感覺沒有造孽

所以可以開心輕鬆的把老狗送收容所照顧


接下來會不會有大量的老狗棄養潮




"
Re:[新聞]【憂心片】零安樂死後天上路　成功關鍵看,2017/02/02,17:14:53,https://www.ptt.cc/bbs/Gossiping/M.1486084855.A.BDF.html,words2012,Gossiping,13,4,0,"動物「零安樂死」措施 完全不切實際

沒想到竟然可以通過!


因為動物「零安樂死」 代表流浪動物在公立收容所絕對越囤越多!很可怕!


最後整個塞滿!是不是漫到街上!流浪貓狗整個漫出來!

通過刪除第12條的立法委員，根本沒在第一線照顧動物過

哼!!!!!!!!"
[問卦]有沒有零安樂死的錢從哪裡來的八卦？,2017/02/02,19:24:41,https://www.ptt.cc/bbs/Gossiping/M.1486092644.A.60E.html,lightingray,Gossiping,18,8,0,"台灣開始實施狗狗的零安樂死了，


但是我想問的是錢從哪裡來？


不管是飼料錢、空間、管理成本，還有衛生等問題，


套句bulwoo的名言：錢


錢從哪裡來？


台灣愛貓狗養貓狗的人沒繳交寵物稅就算了，


還因為花了兩個小時看了部十二夜就要全民買單？



"
[新聞]動保法零安樂死明上路縣市憂棄養潮,2017/02/02,23:25:44,https://www.ptt.cc/bbs/Gossiping/M.1486107109.A.9EA.html,tryit0902,Gossiping,37,8,6,"動保法零安樂死明上路 縣市憂棄養潮  自由

「動物保護法」將於明天正式上路，雖有不少縣市早已陸續達到「零安樂死」目標，但宜
蘭、新竹、花蓮等縣市則坦言執行有困難，更哀嘆表示，不可能零撲殺！甚至有縣市表示
在新政策實施後，民眾棄養的情況會更嚴重。

綜合媒體報導，自2014年起紀錄片「十二夜」的議題不斷延燒，為避免流浪動物因收容空
間不足遭撲殺，去年立法院刪除「動物保護法」第12條中「經通知或公告逾12日而無人認
領、認養或無適當之處置，得以宰殺」的規定，等同實施動物「零安樂死」政策。

而去年立法院也通過「動物保護法」修法，各縣市將於明日起執行動物「零安樂死」的措
施，甚至因各縣市的條件不同而有部分縣市早已實施，但卻有不少縣市因公立收容所嚴重
不足、認養率低等問題，讓「零安樂死」在執行上臨挑戰。

因此有動保人士則表示，雖將執行「零安樂死」政策，但政府卻沒配套措施，讓不少人憂
心政策上路後，將會爆發棄養潮。
http://news.ltn.com.tw/news/society/breakingnews/1963613
作者
yuee (沉默劇)
看板
Gossiping
標題
[問卦] 有沒有台灣法律世界輕的八卦?
時間
Sun Nov 13 15:53:52 2011"
